timestamp,pv,mv,sv,kp,ki,kd,pb,ti,td,err_value
1772467200000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467201000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467202000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467203000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467204000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467205000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467206000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467207000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467208000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467209000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467210000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467211000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467212000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467213000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467214000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467215000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467216000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467217000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467218000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467219000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467220000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467221000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467222000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467223000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467224000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467225000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467226000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467227000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467228000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467229000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467230000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467231000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467232000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467233000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467234000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467235000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467236000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467237000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467238000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467239000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467240000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
